PB_ID,b,h
029190,1628728740,24.25
029190,1628732318,24
029190,1628735884,23.5
029190,1628739460,23
029190,1628743027,23
029190,1628746603,23
029190,1628750169,23.75
029190,1628753746,25.5
029190,1628757314,27.75
029190,1628760892,30.75
029190,1628764461,32.75
029190,1628768041,33
029190,1628771611,30
029190,1628775190,29.75
029190,1628778759,29.5
029190,1628782337,29.25
029190,1628785905,29.25
029190,1628789482,28.5
029190,1628793049,28.25
029190,1628796626,27.5
029190,1628800193,26.75
029190,1628803770,26.5
029190,1628807338,26.25
029190,1628810915,26
029190,1628814484,25.5
029190,1628818061,25.5
029190,1628821629,25
029190,1628825206,24.75
029190,1628828773,24.5
029190,1628832350,24.5
029190,1628835917,25
029190,1628839494,26.25
029190,1628843062,28
029190,1628846640,30
029190,1628850209,32.75
029190,1628853789,33.25
029190,1628857360,31
029190,1628860940,30.5
029190,1628864509,30.25
029190,1628928870,61
029190,1628932427,61.75
029190,1628936013,62
029190,1628946808,63.25
029190,1628950378,63.75
029190,1628953975,64.25
029190,1628961162,64.75
029190,1628964748,65
029190,1628968346,65.25
029190,1628971934,65.25
029190,1628975532,65.25
029190,1628979120,65.25
029190,1628993518,65
029190,1628997118,65
029190,1629000682,64.75
029190,1629004280,64.75
029190,1629007869,64.75
029190,1629011468,64.5
029190,1629015056,64.25
029190,1629018655,64.5
029190,1629022244,64.5
029190,1629025842,64.5
029190,1629029430,64.5
029190,1629033029,64.5
029190,1629040218,64
029190,1629043805,64
029190,1629047403,64
029190,1629050991,63.75
029190,1629054589,63.75
029190,1629058177,63.5
029190,1629061775,63.25
029190,1629065363,63
029190,1629068961,62.75
029190,1629072548,62.75
029190,1629076145,62.5
029190,1629079733,62.5
029190,1629083329,62.25
029190,1629086917,61.75
029190,1629090513,61.5
029190,1629094100,61.5
029190,1629097697,61
029190,1629101283,60.75
029190,1629104879,60.75
029190,1629108466,60.75
029190,1629112062,60.25
029190,1629115648,60
029190,1629119243,59.75
029190,1629122829,59.5
029190,1629126424,59.5
029190,1629130009,59.25
029190,1629133603,59
029190,1629137188,58.75
029190,1629140782,58.5
029190,1629144366,58.25
029190,1629147960,58
029190,1629151543,57.75
029190,1629155137,57.5
029190,1629158720,57.25
029190,1629162314,57
029190,1629165896,56.75
029190,1629169489,56.5
029190,1629173072,56.25
029190,1629176664,56
029190,1629180246,55.75
029190,1629183838,55.5
029190,1629187421,55.25
029190,1629191012,55
029190,1629194594,55
029190,1629198186,54.75
029190,1629205367,54.25
029190,1629208940,54.25
029190,1629212531,54
029190,1629216113,54
029190,1629219704,53.75
029190,1629223285,53.5
029190,1629226875,53.5
029190,1629230455,53.25
029190,1629234046,53
029190,1629237626,53
029190,1629241216,52.75
029190,1629244796,52.5
029190,1629248385,52.25
029190,1629251964,52.25
029190,1629255553,52
029190,1629259132,51.75
029190,1629262721,51.5
029190,1629266300,51.25
029190,1629269889,51.25
029190,1629273468,51
029190,1629277057,51
029190,1629280635,50.75
029190,1629284223,50.75
029190,1629287802,50.25
029190,1629291391,50.25
029190,1629294970,50.25
029190,1629298558,50
029190,1629302136,50
029190,1629305724,49.75
029190,1629309302,49.5
029190,1629312890,49.5
029190,1629316467,49.25
029190,1629320055,49
029190,1629323632,49
029190,1629327219,48.75
029190,1629330797,48.75
029190,1629334384,48.5
029190,1629337962,48.25
029190,1629341549,48.25
029190,1629345126,48
029190,1629348712,48
029190,1629352289,47.75
029190,1629355875,47.5
029190,1629359451,47.5
029190,1629363037,47.25
029190,1629366613,47.25
029190,1629370200,47
029190,1629373776,46.75
029190,1629377362,46.75
029190,1629380938,46.5
029190,1629384525,46.5
029190,1629388101,46.25
029190,1629391686,46.25
029190,1629395263,46.25
029190,1629398849,46
029190,1629402425,45.75
029190,1629406010,45.75
029190,1629409586,45.5
029190,1629413172,45.25
029190,1629416748,45.25
029190,1629420333,45
029190,1629423907,45
029190,1629427492,44.75
029190,1629431067,44.75
029190,1629434652,44.5
029190,1629438227,44.25
029190,1629441812,44
029190,1629445386,44
029190,1629448971,44
029190,1629452546,43.75
029190,1629456131,43.5
029190,1629459706,43.5
029190,1629463291,43.5
029190,1629466865,43.25
029190,1629470449,43.25
029190,1629474023,43
029190,1629477607,43
029190,1629481182,42.75
029190,1629484766,42.75
029190,1629488339,42.75
029190,1629491923,42.5
029190,1629495497,42.5
029190,1629499081,42.25
029190,1629502654,42
029190,1629506237,42
029190,1629509810,41.75
